Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Height (m),BMI
William Peixoto Arjona,M,37.0,186.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Medal,1.86,22.55
Kristin Ann Armstrong (-Savola),F,42.0,173.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",Non-Medal,1.73,19.38
Kristin Ann Armstrong (-Savola),F,42.0,173.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Individual Time Trial,Medal,1.73,19.38
Mackenzie Elizabeth Arnold,F,22.0,179.0,76.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Non-Medal,1.79,23.72
Marie-Cathrine Arnold,F,24.0,175.0,69.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,Non-Medal,1.75,22.53
Mariafe Artacho del Solar,F,22.0,175.0,66.0,Australia-2,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Non-Medal,1.75,21.55
Jenny Lyvette Arthur,F,22.0,166.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Heavyweight,Non-Medal,1.66,26.85
Ronnie Ash,M,28.0,188.0,95.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,Non-Medal,1.88,26.88
Whitney Jordan Ashley,F,27.0,178.0,91.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,Non-Medal,1.78,28.72
Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,Non-Medal,1.73,21.38
Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,Non-Medal,1.73,21.38
Jessica Ashwood,F,23.0,173.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Medal,1.73,21.38
Jeanine Assani Issouf,F,23.0,170.0,53.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Triple Jump,Non-Medal,1.7,18.34
Teddy H. Atine-Venel,M,31.0,184.0,77.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Non-Medal,1.84,22.74
Sandra Auffarth,F,29.0,170.0,57.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Non-Medal,1.7,19.72
Sandra Auffarth,F,29.0,170.0,57.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Medal,1.7,19.72
Benjamin Auffret,M,21.0,166.0,54.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Platform,Non-Medal,1.66,19.6
Laura Marie Aug,F,24.0,175.0,60.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,Non-Medal,1.75,19.59
Haley Ruth Augello,F,21.0,157.0,54.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Flyweight, Freestyle",Non-Medal,1.57,21.91
Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Non-Medal,1.72,24.0
Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Non-Medal,1.72,24.0
Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Non-Medal,1.72,24.0
Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Non-Medal,1.72,24.0
Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,Non-Medal,1.72,24.0
Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Non-Medal,1.72,24.0
Axel Louis Augis,M,25.0,172.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Non-Medal,1.72,24.0
Seimone Delicia Augustus,F,32.0,183.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Medal,1.83,22.1
Bastien Auzeil,M,26.0,195.0,89.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,Non-Medal,1.95,23.41
Henrique Avancini,M,27.0,176.0,67.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",Non-Medal,1.76,21.63
Valriane Ayayi,F,22.0,184.0,72.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Non-Medal,1.84,21.27
Camille Anas Ayglon-Saurina,F,31.0,180.0,66.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Medal,1.8,20.37
"Anthony Lawrence ""Tony"" Azevedo",M,34.0,186.0,90.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.86,26.01
Yasmina Aziez,F,25.0,172.0,52.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Non-Medal,1.72,17.58
Jrmie Azou,M,27.0,178.0,71.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Medal,1.78,22.41
"Adrian ""Adri"" Delgado Baches",M,26.0,184.0,83.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Non-Medal,1.84,24.52
Joel Baden,M,20.0,190.0,70.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,Non-Medal,1.9,19.39
Marta Baenza Centurion,F,24.0,164.0,52.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Individual",Non-Medal,1.64,19.33
Jos Alessandro Bernardo Baggio,M,35.0,172.0,63.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,Non-Medal,1.72,21.3
Viviane Kretzmann Bahia,F,22.0,176.0,67.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Non-Medal,1.76,21.63
Tavis Bailey,M,24.0,191.0,125.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,Non-Medal,1.91,34.26
Ryan Bailie,M,26.0,177.0,61.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Men's Olympic Distance,Non-Medal,1.77,19.47
Cameron David Bairstow,M,25.0,206.0,118.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Non-Medal,2.06,27.81
Brian Richard Baker,M,31.0,191.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,Non-Medal,1.91,21.11
Brian Richard Baker,M,31.0,191.0,77.0,United States-1,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,Non-Medal,1.91,21.11
